run_id	workflow	created_at	event	kind	failed_checks	fail_rows	digest
29193159203	DB	2026-07-12T12:44:27Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:windows_11_21h2 1278 1017 0 261 20.4% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1043 0 261 20.0% 10.0% ;; DET_MASTER:windows_10_20h2 1523 1262 0 261 17.1% 10.0% ;; DET_MASTER:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DET_OLD:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:5ac3072d8152b569b15400eba2afe448a4a5ae954db3c18498c61fe6819352da
29194080440	DB(Nightly)	2026-07-12T13:15:35Z	schedule	guard-trip	det_master+db	DET_MASTER:windows_11_21h2 1278 1017 0 261 20.4% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1043 0 261 20.0% 10.0% ;; DET_MASTER:windows_10_20h2 1523 1262 0 261 17.1% 10.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:f2bae924d8e7bff1af857d53f3673c4910af231a17b93b0112d623082f7e512f
29204393993	DB	2026-07-12T18:42:47Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:windows_11_21h2 1278 1017 0 261 20.4% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1043 0 261 20.0% 10.0% ;; DET_MASTER:windows_10_20h2 1523 1262 0 261 17.1% 10.0% ;; DET_MASTER:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DET_OLD:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:66cbc8427fbaf658e4bb392efd2167bb2f9636bf132dc38c2c34f3120d4d68d2
29217135016	DB	2026-07-13T01:17:59Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:windows_11_21h2 1278 1419 141 0 11.0% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1445 141 0 10.8% 10.0% ;; DET_MASTER:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DET_OLD:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:5400d2bcaaae45239dce393268f05a917fb57ed6a51d2eaa679bcd0599d3be0b
29219950514	DB(Nightly)	2026-07-13T02:39:01Z	schedule	guard-trip	det_master+db	DET_MASTER:windows_11_21h2 1278 1419 141 0 11.0% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1445 141 0 10.8% 10.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:1dbca778c5fac8719c557bcf3a1d6ad4c5a6b58e9d67e66e2ebce212cec951a3
29236132329	DB	2026-07-13T08:38:13Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:windows_11_21h2 1278 1419 141 0 11.0% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1445 141 0 10.8% 10.0% ;; DET_MASTER:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DET_OLD:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:4d2f395060dbd143ba1f7ace346a85cfed473c63f14ddc0052e00447aa5b4770
29238878176	DB(Nightly)	2026-07-13T09:22:57Z	schedule	guard-trip	det_master+db	DET_MASTER:windows_11_21h2 1278 1419 141 0 11.0% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1445 141 0 10.8% 10.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:4338965c1128b4c6a94f09f58d1c5dd1a07c59049c28c8b4a2003330ce585b10
29255526030	DB	2026-07-13T13:52:22Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:windows_11_21h2 1278 1419 141 0 11.0% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1445 141 0 10.8% 10.0% ;; DET_MASTER:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DET_OLD:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:1bd655e33834574142995b16bf8ca90f4fc34bea2dabbab26e5ee7520b207f9f
29258204246	DB(Nightly)	2026-07-13T14:30:03Z	schedule	guard-trip	det_master+db	DET_MASTER:windows_11_21h2 1278 1419 141 0 11.0% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1445 141 0 10.8% 10.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:27979620a589bb06ec8102837d0d4335b5794204b07e45373f6b44685a796397
29278083588	DB(Nightly)	2026-07-13T19:20:34Z	schedule	guard-trip	det_master+db	DET_MASTER:windows_11_21h2 1278 1419 141 0 11.0% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1445 141 0 10.8% 10.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:f8fa8d5f5a134e505913308b86a89140a5d3005642b8c8680a13fdbb6d6d00e2
29297780197	DB	2026-07-14T01:07:53Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:windows_11_21h2 1278 1419 141 0 11.0% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1445 141 0 10.8% 10.0% ;; DET_MASTER:opensuse_tumbleweed 317 336 19 0 6.0% 5.0% ;; DET_OLD:opensuse_tumbleweed 317 336 19 0 6.0% 5.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:ubuntu:14.04 13.5% 0.0% 10.0% ;; DB:cpe 12.1% 0.0% 10.0%	sha256:72dcb0332bfd78a58ce71596e6b11b1a600d32028e8cebe5c2c2b2960215b51a
29315353553	DB	2026-07-14T07:40:34Z	schedule	guard-trip	det_master+det_old+db	:cpe_jvn vulncheck-nist-nvd2 17 69 52 0 305.9% 5.0% ;; :cpe_cisco vulncheck-nist-nvd2 24 22 7 9 66.7% 5.0% ;; :cpe_nvd vulncheck-nist-nvd2 19 24 5 0 26.3% 5.0% ;; :cpe_fortinet vulncheck-nist-nvd2 5 6 1 0 20.0% 5.0% ;; :windows_11_21h2 microsoft-cvrf 1278 1419 141 0 11.0% 10.0% ;; :windows_11_22h2 microsoft-cvrf 1304 1445 141 0 10.8% 10.0% ;; :opensuse_tumbleweed suse-oval 317 336 19 0 6.0% 5.0% ;; :opensuse_tumbleweed suse-oval 317 336 19 0 6.0% 5.0% ;; DB:ubuntu:25.10 ubuntu-cve-tracker 47.8% 0.0% 10.0% ;; DB:cpe vulncheck-nist-nvd2 37.0% 0.0% 10.0% ;; DB:ubuntu:14.04 ubuntu-cve-tracker 13.5% 0.0% 10.0%	sha256:32316e7f3c789544ef2061d842e216e93bbda763f9f7874f3a49b6298ee08ba1
29316518956	DB(Nightly)	2026-07-14T08:00:55Z	schedule	guard-trip	det_master+db	DET_MASTER:cpe_jvn vulncheck-nist-nvd2 17 69 52 0 305.9% 5.0% ;; DET_MASTER:cpe_cisco vulncheck-nist-nvd2 24 22 7 9 66.7% 5.0% ;; DET_MASTER:cpe_nvd vulncheck-nist-nvd2 19 24 5 0 26.3% 5.0% ;; DET_MASTER:cpe_fortinet vulncheck-nist-nvd2 5 6 1 0 20.0% 5.0% ;; DET_MASTER:windows_11_21h2 microsoft-cvrf 1278 1419 141 0 11.0% 10.0% ;; DET_MASTER:windows_11_22h2 microsoft-cvrf 1304 1445 141 0 10.8% 10.0% ;; DB:ubuntu:25.10 ubuntu-cve-tracker 47.8% 0.0% 10.0% ;; DB:cpe vulncheck-nist-nvd2 37.0% 0.0% 10.0% ;; DB:ubuntu:14.04 ubuntu-cve-tracker 13.5% 0.0% 10.0%	sha256:88ae391734de999743d71aadbf7d9e9d090c4a4467e8e1451ea3da9c84d0d0e3
29398326912	DB	2026-07-15T07:43:56Z	schedule	guard-trip	det_master+db	DET_MASTER:cpe_paloalto nvd-feed-cve-v2 185 203 18 0 9.7% 5.0% ;; DB:microsoft microsoft-msuc 0.0% 55.9% 35.0%	sha256:3c9a3e3b1f74a3a74f9d4ba0a3233042c5bbbc4acf2a8a8a319da622412aa18b
29399593434	DB(Nightly)	2026-07-15T08:06:11Z	schedule	guard-trip	det_master+db	DET_MASTER:cpe_paloalto nvd-feed-cve-v2 185 203 18 0 9.7% 5.0% ;; DB:microsoft microsoft-msuc 0.0% 55.9% 35.0%	sha256:14a1c1ed55e1f8a6be767e18064d1e030fa751c97ff733bd192fd76332f14885
29466660712	DB(Nightly)	2026-07-16T02:28:17Z	schedule	guard-trip	det_master	DET_MASTER:windows_server_2019 microsoft-cvrf 1360 1676 316 0 23.2% 10.0% ;; DET_MASTER:windows_11_25h2 microsoft-cvrf 1775 2158 383 0 21.6% 20.0% ;; DET_MASTER:windows_11_24h2 microsoft-cvrf 1782 2165 383 0 21.5% 20.0% ;; DET_MASTER:windows_server_2016 microsoft-cvrf 1506 1759 253 0 16.8% 10.0% ;; DET_MASTER:windows_server_2012 microsoft-cvrf 1144 1319 175 0 15.3% 10.0% ;; DET_MASTER:windows_server_2012_r2 microsoft-cvrf 1221 1407 186 0 15.2% 10.0%	sha256:fd0657e1b5a37e141a05c67dca937b5997380aaf0a4f7405a32a6bff0119d0a3
29500947233	DB	2026-07-16T13:08:23Z	schedule	guard-trip	det_master	DET_MASTER:windows_server_2019 microsoft-cvrf 1360 1680 320 0 23.5% 10.0% ;; DET_MASTER:windows_11_25h2 microsoft-cvrf 1775 2162 387 0 21.8% 20.0% ;; DET_MASTER:windows_11_24h2 microsoft-cvrf 1782 2169 387 0 21.7% 20.0% ;; DET_MASTER:windows_server_2016 microsoft-cvrf 1506 1763 257 0 17.1% 10.0% ;; DET_MASTER:windows_server_2012 microsoft-cvrf 1144 1319 175 0 15.3% 10.0% ;; DET_MASTER:windows_server_2012_r2 microsoft-cvrf 1221 1407 186 0 15.2% 10.0%	sha256:06a0685ca276e8f406bbd0d93e2cce3b71f8037a340398c950bf8d0140289d35
